delay,condition,textbox.text,,,
0.1,exp,231,,,
0.7,exp,119,,unexpected averages,469.2785146
0.7,exp,96,,Expected averages ,463.7291667
0.1,exp,164,,differennce of intervals,5.549347922
0.4,exp,94,,,
0.1,unexp,340,,,
0.4,exp,231,,,
0.1,exp,341,,,
0.4,unexp,129,,,
0.7,unexp,345,,,
0.4,exp,367,,,
0.7,exp,411,,,
0.1,exp,334,,,
0.4,exp,126,,,
0.1,exp,364,,,
0.7,exp,421,,,
0.1,unexp,234,,,
0.7,unexp,346,,,
0.7,exp,215,,,
0.4,unexp,415,,,
0.4,exp,321,,,
0.7,exp,678,,,
0.4,exp,233,,,
0.1,exp,888,,,
0.4,unexp,669,,,
0.7,exp,334,,,
0.1,unexp,757,,,
0.4,exp,983,,,
0.4,exp,898,,,
0.1,exp,298,,,
0.1,exp,807,,,
0.7,exp,324,,,
0.1,exp,576,,,
0.7,unexp,890,,,
0.4,exp,552,,,
0.7,exp,867,,,
0.4,exp,410,,,
0.4,exp,469,,,
0.4,unexp,677,,,
0.1,unexp,365,,,
0.1,exp,657,,,
0.7,exp,836,,,
0.1,exp,990,,,
0.7,exp,23,,,
0.4,exp,653,,,
0.7,unexp,780,,,
0.7,exp,343,,,
0.1,exp,676,,,
0.1,unexp,256,,,
0.7,unexp,146,,,
0.4,unexp,394,,,
0.7,exp,456,,,
0.4,exp,213,,,
0.1,exp,660,,,
0.1,exp,688,,,
0.7,exp,456,,,
0.4,exp,676,,,
0.4,exp,101,,,
0.1,exp,767,,,
0.7,exp,521,,,
0.7,exp,315,,,
0.1,exp,879,,,
0.1,exp,999,,,
0.4,exp,319,,,
0.7,unexp,432,,,
0.1,unexp,686,,,
0.1,exp,329,,,
0.4,unexp,740,,,
0.4,exp,787,,,
0.7,exp,450,,,
0.4,exp,322,,,
0.7,exp,710,,,
0.4,exp,836,,,
0.7,exp,719,,,
0.1,unexp,879,,,
0.1,exp,200,,,
0.7,unexp,567,,,
0.7,exp,789,,,
0.1,exp,813,,,
0.1,exp,676,,,
0.4,exp,111,,,
0.4,unexp,772,,,
0.4,exp,545,,,
0.7,exp,717,,,
0.4,exp,421,,,
0.7,exp,670,,,
0.7,exp,318,,,
0.7,unexp,559,,,
0.1,exp,336,,,
0.4,exp,89,,,
0.4,exp,76,,,
0.7,exp,489,,,
0.1,unexp,419,,,
0.1,exp,693,,,
0.4,unexp,521,,,
0.1,exp,90,,,
0.7,exp,676,,,
0.1,unexp,222,,,
0.1,exp,771,,,
0.1,exp,555,,,
0.7,unexp,700,,,
0.4,exp,67,,,
0.7,exp,421,,,
0.4,unexp,900,,,
0.7,exp,300,,,
0.4,exp,326,,,
0.1,exp,775,,,
0.4,exp,612,,,
0.4,exp,989,,,
0.7,unexp,625,,,
0.1,exp,887,,,
0.4,unexp,267,,,
0.7,exp,787,,,
0.1,exp,111,,,
0.7,exp,693,,,
0.4,exp,218,,,
0.1,exp,888,,,
0.4,exp,67,,,
