trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.02758910000011383,,0.01871730000016214,0.02758910000011383,1.0022017999999662,1.0361451999999645,1.574653699999999,up,0,0.47678289999998924,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
1,0,1,0,1.5868738000001485,,1.5785213000001477,1.5868738000001485,2.58484250000015,2.601442600000155,3.235921800000142,down,1,0.6401851999999053,None,-5,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
2,0,2,0,3.250720800000181,,3.2394784000000527,3.250720800000181,4.249911900000143,4.249911900000143,4.801006700000016,up,1,0.5379413999999088,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
3,0,3,0,4.816156600000113,,4.804830199999969,4.816156600000113,5.8160492000001796,5.8160492000001796,6.399575700000014,up,1,0.5693916000000172,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
4,0,4,0,6.414879700000029,,6.403080499999987,6.414879700000029,7.414115000000038,7.414115000000038,8.09830450000004,up,1,0.6773840999999265,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
5,0,5,0,8.11321020000014,,8.103321900000083,8.11321020000014,9.112561700000015,9.112561700000015,9.647230100000115,down,1,0.5326254999999946,None,-5,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
6,0,6,0,9.661963300000025,,9.650761500000044,9.661963300000025,10.661285500000076,10.661285500000076,11.245547700000088,down,0,0.5753128999999717,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
7,0,7,0,11.26093630000014,,11.24903089999998,11.26093630000014,12.260102899999993,12.260102899999993,12.993991499999993,up,1,0.7165216999999302,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
8,0,8,0,13.00886760000003,,12.997949900000094,13.00886760000003,14.008597400000099,14.008597400000099,15.075702999999976,down,1,1.0580922999999984,None,1,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
9,0,9,0,15.09113850000017,,15.079244700000118,15.09113850000017,16.09030440000015,16.106860000000097,16.940950000000157,down,1,0.8408154000001105,None,-2,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
10,0,10,0,16.95583600000009,,16.944439000000102,16.95583600000009,17.955306800000017,17.955306800000017,18.805952600000182,down,0,0.8345911999999771,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
11,0,11,0,18.821267300000045,,18.80965839999999,18.821267300000045,19.820466300000135,19.841631000000007,20.604511300000013,down,1,0.7668159000002106,None,-2,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
12,0,12,0,20.619864000000007,,20.608057200000076,20.619864000000007,21.618942199999992,21.618942199999992,22.15327060000004,up,1,0.5209012000000257,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
13,0,13,0,22.168312799999967,,22.15701540000009,22.168312799999967,23.151068699999996,23.167804899999965,23.93481410000004,down,1,0.780540000000201,None,4,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
14,0,14,0,23.950268600000072,,23.936909300000025,23.950268600000072,24.94940140000017,24.94940140000017,25.58321509999996,up,0,0.620159699999931,None,-2,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
15,0,15,0,25.59922430000006,,25.585216400000036,25.59922430000006,26.59852590000014,26.615149200000133,27.831966400000056,up,0,1.231443899999931,None,-4,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
16,0,16,0,27.846326699999963,,27.835669499999995,27.846326699999963,28.846257900000182,28.846257900000182,29.43192840000006,down,0,0.5713060000000496,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
17,0,17,0,29.446589099999983,,29.436802899999975,29.446589099999983,30.444788700000117,30.46176400000013,31.5618707000001,down,0,1.1155913000000055,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
18,0,18,0,31.57768400000009,,31.56580329999997,31.57768400000009,32.57655530000011,32.59332979999999,33.244327399999975,down,0,0.6539021999999477,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
19,0,19,0,33.25917000000004,,33.247917800000096,33.25917000000004,34.2588475,34.27530980000006,34.57634340000004,up,0,0.3009500000000571,None,-5,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
20,0,20,0,34.59149670000011,,34.57987370000001,34.59149670000011,35.590653500000144,35.590653500000144,35.958531600000015,down,1,0.3521710999998504,None,-4,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
21,0,21,0,35.9736398,,35.96202080000012,35.9736398,36.97292790000006,36.97292790000006,37.74014060000013,up,1,0.750432900000078,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
22,0,22,0,37.75553409999998,,37.74373860000014,37.75553409999998,38.75467380000009,38.75467380000009,39.53876420000006,up,1,0.768119200000001,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
23,0,23,0,39.55419730000017,,39.54255890000013,39.55419730000017,40.55321530000015,40.569452299999966,41.154037100000096,up,1,0.5872781000000487,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
24,0,24,0,41.16939040000011,,41.1578207,41.16939040000011,42.16870890000018,42.16870890000018,42.70274620000009,down,1,0.5245064000000639,None,-2,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
25,0,25,0,42.71806950000018,,42.706545100000085,42.71806950000018,43.717210900000055,43.717210900000055,44.468081700000084,down,1,0.7381067999999686,None,1,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
26,0,26,0,44.48316520000003,,44.47230310000009,44.48316520000003,45.482558200000085,45.482558200000085,46.1329803000001,up,1,0.6416845000001103,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
27,0,27,0,46.1485854,,46.136707600000136,46.1485854,47.14770229999999,47.14770229999999,47.89840410000011,down,1,0.7409856000001582,None,3,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
28,0,28,0,47.91372760000013,,47.90191180000011,47.91372760000013,48.913774699999976,48.913774699999976,50.59609769999997,down,1,1.6686956999999438,None,3,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
29,0,29,0,50.61188540000012,,50.59990860000016,50.61188540000012,51.61080510000011,51.61080510000011,52.361151600000085,down,1,0.7451797999999599,None,-3,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
30,0,30,0,52.376625300000114,,52.36336130000018,52.376625300000114,53.37597380000011,53.37597380000011,53.977022499999975,up,0,0.5897786000000451,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
31,0,31,0,53.99224460000005,,53.980828900000006,53.99224460000005,54.991298099999995,55.007961300000034,55.60870160000013,up,1,0.6086417999999867,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
32,0,32,0,55.624004300000024,,55.612195000000156,55.624004300000024,56.62300630000004,56.62300630000004,57.29039899999998,up,1,0.6589340000000448,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
33,0,33,0,57.30601690000003,,57.29361830000016,57.30601690000003,58.28777510000009,58.321905100000095,58.872258699999975,up,1,0.5789695000000847,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
34,0,34,0,58.88809490000017,,58.874254500000006,58.88809490000017,59.887230600000066,59.904102200000125,60.6218593000001,down,1,0.7257480999999188,None,-4,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
35,0,35,0,60.63719530000003,,60.626432600000044,60.63719530000003,61.63605120000011,61.65267590000008,62.17012629999999,down,1,0.5301397000000634,None,-3,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
36,0,36,0,62.18515760000014,,62.17369580000013,62.18515760000014,63.18501549999996,63.18501549999996,63.719115800000054,down,1,0.5325826000000689,None,-3,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
37,0,37,0,63.73387600000001,,63.722667,63.73387600000001,64.73339450000003,64.73339450000003,65.234512,up,1,0.49911470000006375,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
38,0,38,0,65.24927820000016,,65.23804830000017,65.24927820000016,66.24866480000014,66.24866480000014,66.98279490000004,down,1,0.7173471000000973,None,4,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
39,0,39,0,66.99791840000012,,66.9863249,66.99791840000012,67.99725190000004,67.99725190000004,68.66421370000012,up,1,0.6534059000000525,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
40,0,40,0,68.67994670000007,,68.66773830000011,68.67994670000007,69.67913970000018,69.67913970000018,70.32990930000005,down,1,0.6406942000000981,None,-2,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
41,0,41,0,70.34502420000013,,70.33337500000016,70.34502420000013,71.34449100000006,71.34449100000006,71.97888200000011,up,1,0.6328866999999718,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
42,0,42,0,71.99421389999998,,71.98255940000013,71.99421389999998,72.99308710000014,73.00983910000014,73.41077740000014,down,1,0.4078258000001824,None,-5,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
43,0,43,0,73.42543369999999,,73.41461980000008,73.42543369999999,74.4253106000001,74.4253106000001,75.22584260000008,up,0,0.7891415999999936,None,-1,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
44,0,44,0,75.2411896000001,,75.22956070000009,75.2411896000001,76.24039190000008,76.24039190000008,76.82493900000009,up,1,0.5804450000000543,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
45,0,45,0,76.83972680000011,,76.82843279999997,76.83972680000011,77.83908850000012,77.83908850000012,78.5401144,up,1,0.6958405999998831,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
46,0,46,0,78.55500359999996,,78.54370259999996,78.55500359999996,79.55438170000002,79.55438170000002,80.20530950000011,down,1,0.6455349000000297,None,4,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
47,0,47,0,80.22020340000017,,80.20880350000016,80.22020340000017,81.2199826000001,81.23628740000004,82.01984160000006,down,1,0.79264790000002,None,4,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
48,0,48,0,82.03554180000015,,82.0237161,82.03554180000015,83.03472869999996,83.03472869999996,84.03480510000009,down,1,0.9919022999999925,None,4,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
49,0,49,0,84.05052330000012,,84.03833080000004,84.05052330000012,85.04972570000018,85.04972570000018,85.65076680000016,up,1,0.5853978000000097,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
50,0,50,0,85.66602710000006,,85.65433660000008,85.66602710000006,86.6654132000001,86.68137190000016,87.3160147000001,up,1,0.6421456000000489,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
51,0,51,0,87.33143590000009,,87.31970730000012,87.33143590000009,88.33105,88.34701220000011,88.93089710000004,up,1,0.5908217000001059,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
52,0,52,0,88.94621720000009,,88.93290040000011,88.94621720000009,89.94571770000016,89.94571770000016,90.72960330000001,up,1,0.7717559000000165,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
53,0,53,0,90.74486610000008,,90.73310430000015,90.74486610000008,91.74440210000012,91.74440210000012,92.2283847000001,up,1,0.47184759999981907,None,0,424866,001,2024-09-19_11h50.06.299,Orientation Discrimination task,2024.1.5,None,2024-09-19 11h50.13.730605 +0530,
