trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.08528849999993326,,0.009753399999908652,10,0.08528849999993326,0.08528849999993326,0.06247940000002927,1.0974564000000555,2.140944300000001,[0.003703703703703704],[0.21944444444444444],[1],[0],[0],[2.0777795999999853],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
1,0,1,0,2.177658500000007,,2.1463997000000745,5,2.177658500000007,2.177658500000007,0.020473199999969438,3.191981599999963,3.3274587000000793,[0.05925925925925926],[0.025925925925925925],[1],[0],[0],[1.1609633999999005],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
2,0,2,0,3.3633056999999553,,3.3324857999998585,5,3.3633056999999553,3.3633056999999553,0.018870900000138136,4.378723000000036,4.73009060000004,[-0.45740740740740743],[0.362962962962963],[1],[0],[0],[1.3793066000000636],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
3,0,3,0,4.787076099999922,,4.734530799999902,10,4.787076099999922,4.787076099999922,0.03724399999987327,5.792637199999945,5.972527099999979,[0.1037037037037037],[-0.1814814814814815],[1],[0],[0],[1.2013351999999031],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
4,0,4,0,6.030574299999898,,5.9774463999999625,10,6.030574299999898,6.030574299999898,0.03835690000005343,7.040556799999877,7.042773899999929,[0.07407407407407407],[0.12685185185185185],[1],[0],[0],[1.02749730000005],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
5,0,5,0,7.079299699999865,,7.047170099999903,5,7.079299699999865,7.079299699999865,0.019422500000018772,8.086753000000044,8.930095599999959,[-0.3333333333333333],[0.41944444444444445],[1],[0],[0],[1.863516799999843],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
6,0,6,0,8.98314819999996,,8.935162300000002,5,8.98314819999996,8.98314819999996,0.03544259999989663,9.987585000000081,10.208965499999977,[-0.062037037037037036],[0.40925925925925927],[1],[0],[0],[1.2386695000000145],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
7,0,7,0,10.299678500000027,,10.217213399999991,10,10.299678500000027,10.299678500000027,0.05888049999998657,11.308344099999886,13.90997369999991,[0.3287037037037037],[0.28703703703703703],[1],[0],[0],[3.6352256000000125],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
8,0,8,0,13.954173899999887,,13.913245199999892,10,13.954173899999887,13.954173899999887,0.026671900000110327,14.954788199999939,15.672475200000008,[0.44907407407407407],[-0.053703703703703705],[1],[0],[0],[1.7328225999999631],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
9,0,9,0,15.702974199999971,,15.676517399999966,5,15.702974199999971,15.702974199999971,0.016986599999881946,16.705463999999893,17.65580769999997,[0.3907407407407407],[0.2824074074074074],[1],[0],[0],[1.9627938000000995],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
10,0,10,0,17.716135699999995,,17.66020279999998,10,17.716135699999995,17.716135699999995,0.03957839999998214,18.728834499999948,20.759450600000037,[-0.2638888888888889],[-0.19166666666666668],[1],[0],[0],[3.0601874999999836],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
11,0,11,0,20.814248500000076,,20.76401809999993,10,20.814248500000076,20.814248500000076,0.03556639999987965,21.81499000000008,22.39939490000006,[-0.0962962962962963],[0.22037037037037038],[1],[0],[0],[1.6003982000001997],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
12,0,12,0,22.43273619999991,,22.40373180000006,5,22.43273619999991,22.43273619999991,0.01827400000001944,23.437538200000063,23.670127399999956,[0.062037037037037036],[0.16018518518518518],[1],[0],[0],[1.2484956000000693],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
13,0,13,0,23.74140609999995,,23.674513799999886,10,23.74140609999995,23.74140609999995,0.042138200000181314,,24.45903270000008,[0.06296296296296296],[0.1787037037037037],[1],[0],[0],[0.742810400000053],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
14,0,14,0,24.51125009999987,,24.46569989999989,5,24.51125009999987,24.51125009999987,0.030704699999887453,25.51520299999993,26.63275939999994,[0.48148148148148145],[0.16944444444444445],[1],[0],[0],[2.1379855000000134],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
15,0,15,0,26.668680300000005,,26.637279600000056,5,26.668680300000005,26.668680300000005,0.01995260000012422,27.684142000000065,28.001697299999933,[-0.12314814814814815],[0.1175925925925926],[1],[0],[0],[1.3451420000001235],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
16,0,16,0,28.035343499999954,,28.00602179999987,5,28.035343499999954,28.035343499999954,0.019070399999918664,29.037940799999888,29.505153699999937,[0.3712962962962963],[-0.3490740740740741],[1],[0],[0],[1.480666200000087],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
17,0,17,0,29.539373599999863,,29.510063199999877,5,29.539373599999863,29.539373599999863,0.018808300000046074,30.540428799999972,33.838620999999875,[0.12685185185185185],[0.45740740740740743],[1],[0],[0],[4.310396399999945],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
18,0,18,0,33.90583379999998,,33.84331780000002,10,33.90583379999998,33.90583379999998,0.047237600000016755,34.91232439999999,37.739024900000004,[0.49722222222222223],[-0.18981481481481483],[1],[0],[0],[3.84933500000011],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
19,0,19,0,37.79096830000003,,37.74332120000008,10,37.79096830000003,37.79096830000003,0.032948600000054284,38.805008099999895,39.12248060000002,[-0.24722222222222223],[0.23055555555555557],[1],[0],[0],[1.346740999999838],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
20,0,20,0,39.17722570000001,,39.126804799999945,10,39.17722570000001,39.17722570000001,0.03543200000012803,40.17804320000005,40.27928500000007,[-0.1361111111111111],[0.3472222222222222],[1],[0],[0],[1.1176378000000113],['target'],1,001,2024-10-10_13h48.21.660,Visual search exp,2024.1.5,None,2024-10-10 13h48.37.556148 +0530,
