SETS,,,,,,
10'S,,5'S,,,meanRT_5,meanRT_10
num_distr,mouse.time,num_distr,mouse.time,,,
10,2.0777796,5,1.1609634,,1.870729837,2.110895869
10,1.2013352,5,1.3793066,,,
10,1.0274973,5,1.8635168,,,
10,3.6352256,5,1.2386695,,,
10,1.7328226,5,1.9627938,,,
10,3.0601875,5,1.2484956,,,
10,1.6003982,5,2.1379855,,,
10,0.7428104,5,1.345142,,,
10,3.849335,5,1.4806662,,,
10,1.346741,5,4.3103964,,,
10,1.1176378,5,1.2453817,,,
10,1.7763455,5,2.0289505,,,
10,1.9841577,5,2.2286209,,,
10,2.3315951,5,1.3305521,,,
10,2.4030629,5,2.1972317,,,
10,1.6705963,5,1.383892,,,
10,1.7285262,5,1.6173657,,,
10,2.4326584,5,1.4589483,,,
10,1.3210708,5,1.2480323,,CALCULATING THE SLOPE,
10,4.549528,5,1.4643906,,0.048033206,
10,1.6597495,5,1.5309858,,,
10,2.2737934,5,2.0297751,,,
10,1.2646171,5,1.4316979,,,
10,1.4020577,5,2.1873633,,,
10,0.8978258,5,1.5970457,,,
10,2.7441191,5,1.6291643,,,
10,1.9123656,5,1.3312946,,,
10,1.1334603,5,1.2309421,,,
10,2.0835625,5,1.361101,,,
10,1.429994,5,1.0471046,,,
10,1.1186394,5,1.3292597,,,
10,2.0462286,5,1.3972072,,,
10,2.7167997,5,2.0957216,,,
10,1.9479571,5,3.1261693,,,
10,1.6010908,5,1.2284242,,,
10,1.8056851,5,1.4136626,,,
10,1.6125814,5,1.692167,,,
10,2.197987,5,1.1983003,,,
10,1.6796514,5,2.0130383,,,
10,0.9693033,5,3.5457394,,,
10,1.8324885,5,1.22895,,,
10,1.2178626,5,1.7301422,,,
10,1.2190567,5,2.2301244,,,
10,1.3683634,5,1.7321486,,,
10,1.9577402,5,1.6803265,,,
10,2.2711093,5,1.8285562,,,
10,1.1345992,5,1.3334964,,,
10,2.066804,5,1.5632545,,,
10,1.6170948,5,1.481085,,,
10,2.409818,5,1.5258033,,,
10,1.8836025,5,2.657868,,,
10,1.6405718,5,1.938154,,,
10,3.2092674,5,1.3216083,,,
10,1.4189459,5,1.4047354,,,
10,1.4366405,5,2.0108838,,,
10,1.4415013,5,1.5241327,,,
10,1.1157546,5,1.262203,,,
10,1.8571502,5,1.1423537,,,
10,1.6303083,5,1.7606768,,,
10,1.7937522,5,1.103087,,,
10,1.5003264,5,1.2973824,,,
10,1.7417321,5,1.2297236,,,
10,1.5929827,5,1.156198,,,
10,2.1096999,5,2.19726,,,
10,2.8490105,5,1.1640056,,,
10,2.2674796,5,2.879379,,,
10,1.6490129,5,1.412899,,,
10,2.6786457,5,1.4315887,,,
10,1.3705203,5,1.3944942,,,
10,0.2821455,5,2.1641438,,,
10,1.5337994,5,2.3953454,,,
10,1.9844379,5,1.7304655,,,
10,1.4858189,5,1.4961603,,,
10,3.2675684,5,1.5631217,,,
10,1.3228122,5,1.2958871,,,
10,1.4137908,5,1.816084,,,
10,1.4659759,5,1.6828436,,,
10,2.9843017,5,2.0145999,,,
10,2.8860829,5,2.6629751,,,
10,1.5834897,5,1.2634904,,,
10,1.2987711,5,3.3980492,,,
10,2.633012,5,1.6959411,,,
10,2.2310511,5,3.8625685,,,
10,1.9521634,5,1.5287977,,,
10,1.5798362,5,2.3158706,,,
10,4.2848751,5,2.1949054,,,
10,1.3181798,5,1.7969362,,,
10,1.8923227,5,1.2806393,,,
10,1.4330315,5,1.6809473,,,
10,3.2660945,5,1.7771261,,,
10,2.5347744,5,2.9451635,,,
10,2.7820959,5,2.6303129,,,
10,1.4949441,5,1.9462191,,,
10,2.7316412,5,1.7628092,,,
10,3.0830686,5,1.6481459,,,
10,1.3347292,5,2.7293589,,,
10,2.2618432,5,1.9963402,,,
10,1.7860109,5,2.2771834,,,
10,4.5008515,5,3.3954106,,,
10,1.2814312,5,2.1465605,,,
10,3.9013282,5,2.2626182,,,
10,1.7667477,5,1.3455242,,,
10,1.2702668,5,2.3124724,,,
10,1.6012325,5,2.0467008,,,
10,2.2924188,5,2.081624,,,
10,3.0499084,5,1.874974,,,
10,1.7854804,5,1.6474498,,,
10,1.8512446,5,1.7975532,,,
10,3.4388836,5,3.4116444,,,
10,2.1363321,5,1.746685,,,
10,2.3143503,5,1.9293677,,,
10,2.5544328,5,2.4473469,,,
10,4.9027774,5,2.1802189,,,
10,2.0206131,5,1.4453389,,,
10,3.7558784,5,2.1471435,,,
10,1.1034547,5,1.2476532,,,
10,1.5960555,5,2.6987181,,,
10,2.7536324,5,1.6685805,,,
10,1.9305588,5,2.4643446,,,
10,2.4269956,5,2.3982147,,,
10,3.560869,5,1.7637213,,,
10,3.0694552,5,2.0135284,,,
10,2.2840823,5,1.1805557,,,
10,4.0176961,5,2.6959867,,,
10,1.3740397,5,1.5715672,,,
10,2.3601108,5,2.0149819,,,
10,3.1691928,5,2.5463939,,,
10,3.9788008,5,2.3528584,,,
10,2.3497241,5,1.7976643,,,
10,1.7192545,5,1.9144156,,,
10,3.6349714,5,2.4286368,,,
10,4.0507043,5,1.9811913,,,
10,2.8641604,5,2.0112625,,,
10,2.1009319,5,1.8811961,,,
10,2.7326856,5,3.1477669,,,
10,3.7434659,5,3.411756,,,
10,1.225855,5,2.1162464,,,
10,1.7181652,5,1.3633443,,,
10,3.9158904,5,2.7970625,,,
10,1.8918422,5,1.6474227,,,
10,3.1842226,5,1.5316973,,,
10,1.6544586,5,1.5320938,,,
10,2.3935436,5,1.2150572,,,
10,6.1274872,5,1.9146657,,,
10,1.4026223,5,1.6147247,,,
10,1.7298494,5,1.4973733,,,
10,2.7596677,5,1.7969111,,,
10,1.184959,5,2.8465647,,,
10,1.4015201,5,2.209705,,,
10,1.5519763,5,1.9449871,,,
10,4.7986421,5,3.1302566,,,
10,2.2175387,5,2.7469447,,,
10,1.8262003,5,3.296388,,,
10,1.587297,5,2.962523,,,
10,2.6425143,5,2.0308412,,,
10,2.3193098,5,1.8966927,,,
10,1.1524721,5,2.1953127,,,
10,1.2188819,5,2.5353188,,,
10,2.2672515,5,2.1227262,,,
10,1.8523643,5,2.2136457,,,
10,1.9187121,5,1.7311475,,,
10,1.3523528,5,1.7355275,,,
10,2.0864049,5,2.1470645,,,
10,1.9173618,5,1.7808883,,,
10,2.0767054,5,3.979247,,,
10,2.4686218,5,1.8214117,,,
10,2.0408694,5,1.697503,,,
10,2.1843634,5,2.513432,,,
10,1.5988042,5,2.4137252,,,
10,3.3499192,5,2.1180518,,,
10,1.6199246,5,2.1578526,,,
10,1.5684302,5,1.547283,,,
10,2.2533537,5,1.8321585,,,
10,1.3997282,5,1.147929,,,
10,1.5694711,5,2.7796206,,,
10,1.7832557,5,1.9299907,,,
10,1.5532887,5,1.8688237,,,
10,1.6508692,5,1.6958686,,,
10,1.2177971,5,1.4652288,,,
10,1.334491,5,2.3304112,,,
10,1.4244348,5,1.8636122,,,
10,1.823678,5,2.026427,,,
10,2.6343714,5,2.0503137,,,
10,3.7822593,5,4.5617095,,,
10,1.7706804,5,1.3489764,,,
10,1.5516844,5,2.0137714,,,
10,2.4004866,5,2.4295038,,,
10,3.0949979,5,1.8970206,,,
10,2.4006419,5,2.3800376,,,
10,3.237329,5,1.3344356,,,
10,2.5352826,5,2.1982459,,,
10,2.8188813,5,1.8356037,,,
10,2.0178865,5,2.2501848,,,
10,1.8204933,5,1.6316602,,,
10,1.7849976,5,2.7029423,,,
10,4.2496587,5,1.5143491,,,
10,2.0697566,5,1.6472908,,,
10,2.7667321,5,1.5309853,,,
10,2.0056713,5,2.1140786,,,
10,2.9070274,5,2.8479754,,,
10,3.9204336,5,1.9698175,,,
10,1.6355228,5,2.463392,,,
10,2.0708129,5,1.9634733,,,
10,2.066929,5,2.1322025,,,
10,1.5197428,5,1.6839493,,,
10,1.9391418,5,3.0106448,,,
10,2.8064047,5,1.6600109,,,
10,1.4503056,5,1.546513,,,
10,1.3010709,5,1.7316681,,,
10,1.2020613,5,1.646752,,,
10,1.6385632,5,1.6099075,,,
10,2.6351639,5,1.1124203,,,
10,2.4687228,5,2.2035795,,,
10,1.8991642,5,1.8471837,,,
10,2.4516915,5,1.3843404,,,
10,2.1564711,5,1.4483998,,,
10,1.4839264,5,1.2133256,,,
10,1.1384995,5,2.1135815,,,
10,1.5514249,5,2.6951016,,,
10,2.0176548,5,1.2801715,,,
10,1.4686999,5,1.0995628,,,
10,1.2678305,5,1.4158359,,,
10,2.2183591,5,1.3801469,,,
