num_distr,mouse.time
10,[2.0777795999999853]
5,[1.1609633999999005]
5,[1.3793066000000636]
10,[1.2013351999999031]
10,[1.02749730000005]
5,[1.863516799999843]
5,[1.2386695000000145]
10,[3.6352256000000125]
10,[1.7328225999999631]
5,[1.9627938000000995]
10,[3.0601874999999836]
10,[1.6003982000001997]
5,[1.2484956000000693]
10,[0.742810400000053]
5,[2.1379855000000134]
5,[1.3451420000001235]
5,[1.480666200000087]
5,[4.310396399999945]
10,[3.84933500000011]
10,[1.346740999999838]
10,[1.1176378000000113]
10,[1.7763455000001613]
10,[1.9841576999999688]
10,[2.3315950999999586]
5,[1.2453816999998253]
10,[2.4030628999998953]
5,[2.0289505000000645]
5,[2.2286209000001236]
10,[1.6705962999999429]
5,[1.3305521000002045]
10,[1.728526200000033]
10,[2.4326583999998093]
10,[1.3210707999999158]
10,[4.549528000000009]
5,[2.197231699999975]
10,[1.659749500000089]
5,[1.3838920000000599]
10,[2.2737933999999314]
5,[1.6173656999999366]
5,[1.4589482999999746]
10,[1.2646171000001232]
5,[1.2480322999999771]
5,[1.4643906000001152]
10,[1.4020576999998866]
5,[1.5309857999998258]
5,[2.0297750999998243]
5,[1.4316979000000174]
10,[0.8978257999999641]
5,[2.1873633000000154]
10,[2.7441191000000345]
10,[1.9123656000001574]
10,[1.1334603000000243]
5,[1.5970457000000806]
5,[1.6291642999999567]
5,[1.3312945999998647]
5,[1.2309421000002203]
10,[2.083562499999971]
5,[1.3611009999999624]
5,[1.0471046000000115]
10,[1.4299940000000788]
10,[1.11863940000012]
5,[1.329259699999966]
10,[2.0462285999999494]
5,[1.3972071999999116]
10,[2.7167996999999104]
10,[1.9479570999999396]
5,[2.095721600000161]
5,[3.1261692999999013]
5,[1.2284242000000631]
5,[1.4136625999999524]
10,[1.6010908000000654]
10,[1.8056850999998915]
10,[1.6125813999999536]
10,[2.197987000000012]
5,[1.6921669999999267]
5,[1.1983002999998007]
10,[1.6796514000000116]
10,[0.9693033000000923]
10,[1.832488499999954]
10,[1.2178625999999895]
5,[2.013038300000062]
10,[1.21905670000001]
5,[3.545739400000002]
5,[1.228950000000168]
5,[1.7301422000000457]
10,[1.3683633999999074]
5,[2.2301244000000224]
5,[1.7321486000000732]
10,[1.9577401999999893]
10,[2.2711093000000346]
10,[1.1345991999999114]
5,[1.680326500000092]
10,[2.06680399999982]
5,[1.8285562000000937]
5,[1.3334964000000582]
10,[1.6170948000001317]
10,[2.4098179999998592]
5,[1.5632545000000846]
10,[1.8836025000000518]
5,[1.481085000000121]
5,[1.5258033000000069]
10,[1.6405718000000888]
5,[2.6578679999997803]
5,[1.9381539999999404]
10,[3.209267399999817]
5,[1.3216082999999799]
5,[1.404735399999936]
5,[2.010883799999874]
5,[1.5241327000001093]
10,[1.418945899999926]
10,[1.4366405000000668]
5,[1.2622029999999995]
10,[1.4415013000000272]
5,[1.1423537000000579]
10,[1.1157545999999456]
5,[1.7606767999998283]
10,[1.8571502000002056]
5,[1.103087000000187]
10,[1.6303083000000242]
10,[1.7937521999999717]
5,[1.297382399999833]
5,[1.229723599999943]
10,[1.500326399999949]
10,[1.7417320999998083]
5,[1.156197999999904]
10,[1.5929826999999932]
5,[2.197260000000142]
10,[2.109699899999896]
5,[1.1640056000001096]
10,[2.8490104999998493]
5,[2.8793789999999717]
10,[2.267479600000115]
10,[1.6490128999998888]
10,[2.6786456999998336]
5,[1.4128990000003796]
10,[1.3705202999999528]
5,[1.4315886999997929]
5,[1.3944942000002811]
5,[2.164143800000147]
5,[2.395345399999769]
10,[0.28214550000029703]
5,[1.730465500000264]
5,[1.4961602999997012]
10,[1.5337993999996797]
10,[1.9844379000001027]
10,[1.4858189000001403]
5,[1.5631217000000106]
10,[3.267568400000073]
10,[1.322812200000044]
5,[1.2958871000000727]
5,[1.8160840000000462]
5,[1.6828436000000693]
10,[1.4137907999997879]
10,[1.4659759000001031]
5,[2.014599900000121]
10,[2.9843017000002874]
5,[2.6629751000000397]
5,[1.263490400000137]
5,[3.3980492000000595]
10,[2.8860829000000194]
10,[1.5834896999999728]
10,[1.2987711000000672]
5,[1.6959411000002547]
10,[2.6330119999997805]
10,[2.231051100000059]
5,[3.8625684999997247]
5,[1.5287977000002684]
10,[1.952163400000245]
10,[1.5798362000000452]
5,[2.3158705999999256]
5,[2.1949053999996977]
5,[1.796936199999891]
10,[4.284875100000136]
5,[1.2806393000000753]
5,[1.6809472999998434]
10,[1.3181798000000526]
5,[1.7771260999998049]
10,[1.8923227000000225]
5,[2.945163500000035]
10,[1.4330314999997427]
10,[3.2660945000002357]
5,[2.630312899999808]
