stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.08924249999108724,,0.048789799999212846,0.08924249999108724,0.62935020000441,0.62935020000441,0.6408171000075527,0.9391734999953769,7.881089000002248,left,-10.0,0,0,7.113794600008987,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
1,2,12.0,7.887201500008814,,7.881191399996169,7.887201500008814,8.383595399995102,8.383595399995102,8.400186200015014,,8.440458299999591,right,12.0,0,0,0.04074259998742491,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
2,2,14.0,8.45063529998879,,8.440586899989285,8.45063529998879,8.949569099990185,8.949569099990185,8.949569099990185,9.249493999988772,9.536366299988003,left,-14.0,0,0,0.576277799991658,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
3,2,16.0,9.549166500015417,,9.536472100007813,9.549166500015417,10.049123700009659,10.049123700009659,10.049123700009659,,10.25323090000893,right,16.0,0,0,0.19753530001617037,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
4,1,18.0,10.264778899989324,,10.253315300011309,10.264778899989324,10.76489120000042,10.76489120000042,10.76489120000042,11.064406099991174,11.068619700003183,right,18.0,1,1,0.2916841999976896,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
5,1,17.0,11.08133590000216,,11.06870999999228,11.08133590000216,11.580512999993516,11.580512999993516,11.580512999993516,11.880598999996437,12.08718790000421,right,17.0,1,1,0.4995469999848865,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
6,1,17.0,12.097253599989926,,12.087314500007778,12.097253599989926,12.596683100011433,12.596683100011433,12.596683100011433,12.896725800004788,12.986886800004868,right,17.0,1,1,0.38127199999871664,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
7,1,17.0,12.996375399990939,,12.98701430001529,12.996375399990939,13.496051699999953,13.496051699999953,13.496051699999953,,13.553131599997869,left,-17.0,0,0,0.04611970001133159,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
8,1,18.0,13.562682699994184,,13.553269299998647,13.562682699994184,14.062211000011303,14.062211000011303,14.062211000011303,,14.186016999999993,left,-18.0,0,0,0.10734509999747388,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
9,1,19.0,14.195439600007376,,14.18614959999104,14.195439600007376,14.695094499998959,14.695094499998959,14.695094499998959,14.99507010000525,15.003077900008066,right,19.0,0,0,0.2913201999908779,028536,001,2024-09-01_23h35.35.996,untitled,2024.1.5,None,2024-09-01 23h35.42.531756 +0530,
