participant 1,reward_today,future_reward,delay,key_resp.keys,k,,participant 2,reward_today,future_reward,delay,key_resp.keys,k,,participant 3,reward_today,future_reward,delay,key_resp.keys,k,,participant 4,reward_today,future_reward,delay,key_resp.keys,k,
,78,80,162,t,0.000158278,,,78,80,162,t,0.000158278,,,78,80,162,t,0.00617284,,,78,80,162,t,0.012345679,
,78,80,162,t,0.000158278,,,78,80,162,t,0.000158278,,,78,80,162,t,0.00617284,,,78,80,162,t,0.012345679,
,78,80,162,t,0.000158278,,,78,80,162,t,0.000158278,,,78,80,162,t,0.00617284,,,78,80,162,t,0.012345679,
,78,80,162,t,0.000158278,,,78,80,162,t,0.000158278,,,78,80,162,t,0.00617284,,,78,80,162,t,0.012345679,
,78,80,162,t,0.000158278,,,78,80,162,t,0.000158278,,,78,80,162,t,0.00617284,,,78,80,162,t,0.012345679,
,78,80,162,t,0.000158278,,,78,80,162,t,0.000158278,,,78,80,162,t,0.00617284,,,78,80,162,t,0.012345679,
,78,80,162,t,0.000158278,,,78,80,162,t,0.000158278,,,78,80,162,t,0.00617284,,,78,80,162,t,0.012345679,
,78,80,162,t,0.000158278,,,78,80,162,t,0.000158278,,,78,80,162,t,0.00617284,,,78,80,162,t,0.012345679,
,78,80,162,t,0.000158278,,,78,80,162,t,0.000158278,,,78,80,162,t,0.00617284,,,78,80,162,t,0.012345679,
,78,80,162,t,0.000158278,,,78,80,162,t,0.000158278,,,78,80,162,t,0.00617284,,,78,80,162,t,0.012345679,
,78,80,162,t,0.000158278,,,78,80,162,t,0.000158278,,,78,80,162,t,0.00617284,,,78,80,162,t,0.012345679,
,78,80,162,t,0.000158278,,,78,80,162,t,0.000158278,,,78,80,162,t,0.00617284,,,78,80,162,t,0.012345679,
,78,80,162,t,0.000158278,,,78,80,162,t,0.000158278,,,78,80,162,t,0.00617284,,,78,80,162,t,0.012345679,
,78,80,162,t,0.000158278,,,78,80,162,t,0.000158278,,,78,80,162,t,0.00617284,,,78,80,162,t,0.012345679,
,78,80,162,t,0.000158278,,,78,80,162,t,0.000158278,,,78,80,162,t,0.00617284,,,78,80,162,t,0.012345679,
,67,75,119,t,0.001003386,,,67,75,119,t,0.001003386,,,67,75,119,t,0.058823529,,,67,75,119,t,0.067226891,
,67,75,119,t,0.001003386,,,67,75,119,t,0.001003386,,,67,75,119,t,0.058823529,,,67,75,119,t,0.067226891,
,67,75,119,t,0.001003386,,,67,75,119,t,0.001003386,,,67,75,119,t,0.058823529,,,67,75,119,t,0.067226891,
,67,75,119,t,0.001003386,,,67,75,119,t,0.001003386,,,67,75,119,t,0.058823529,,,67,75,119,t,0.067226891,
,67,75,119,t,0.001003386,,,67,75,119,t,0.001003386,,,67,75,119,t,0.058823529,,,67,75,119,t,0.067226891,
,67,75,119,t,0.001003386,,,67,75,119,t,0.001003386,,,67,75,119,t,0.058823529,,,67,75,119,t,0.067226891,
,67,75,119,t,0.001003386,,,67,75,119,t,0.001003386,,,67,75,119,t,0.058823529,,,67,75,119,t,0.067226891,
,67,75,119,t,0.001003386,,,67,75,119,t,0.001003386,,,67,75,119,t,0.058823529,,,67,75,119,t,0.067226891,
,67,75,119,t,0.001003386,,,67,75,119,t,0.001003386,,,67,75,119,t,0.058823529,,,67,75,119,t,0.067226891,
,67,75,119,t,0.001003386,,,67,75,119,t,0.001003386,,,67,75,119,t,0.058823529,,,67,75,119,t,0.067226891,
,67,75,119,t,0.001003386,0.001003386,,67,75,119,t,0.001003386,,,67,75,119,t,0.058823529,,,67,75,119,t,0.067226891,
,67,75,119,l,0.001003386,,,67,75,119,t,0.001003386,,,67,75,119,t,0.058823529,,,67,75,119,t,0.067226891,
