Study_word,test,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,_a_bl_,old,marble,"[-0.4962962962962963, -0.4962962962962963, -0.4962962962962963, -0.044444444444444446]","[-0.30925925925925923, -0.30925925925925923, -0.30925925925925923, -0.3194444444444444]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.010811800137162209, 0.106069500092417, 0.22267549997195601, 4.768381700152531]",['text_3'],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,_o_rd,old,,[],[],[],[],[],[],[],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,_ha_t,old,chart,[-0.03611111111111111],[-0.30277777777777776],[1],[0],[0],[4.277964900014922],['text_3'],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,k_y_,old,keys,[-0.017592592592592594],[-0.30648148148148147],[1],[0],[0],[4.277151699876413],['text_3'],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,l_pt_p,old,laptop,[-0.017592592592592594],[-0.30648148148148147],[1],[0],[0],[4.525903699919581],['text_3'],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,_ru_is_,old,cruise,[0.012962962962962963],[-0.29444444444444445],[1],[0],[0],[4.393669500015676],['text_3'],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,p_st_r,old,pastry,[-0.019444444444444445],[-0.2972222222222222],[1],[0],[0],[4.87677440000698],['text_3'],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,bo_t_e,new,bottle,[-0.019444444444444445],[-0.2972222222222222],[1],[0],[0],[3.1441331999376416],['text_3'],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,_oo_,old,book,[-0.019444444444444445],[-0.2972222222222222],[1],[0],[0],[2.961719899903983],['text_3'],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,p_nc_l,new,pencil,[-0.019444444444444445],[-0.2972222222222222],[1],[0],[0],[6.691621900070459],['text_3'],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,c_m_ra,new ,camera,[-0.019444444444444445],[-0.2972222222222222],[1],[0],[0],[3.460923600010574],['text_3'],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,p_as_tr_,old,pastry,[-0.019444444444444445],[-0.2972222222222222],[1],[0],[0],[2.8282769999932498],['text_3'],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,p_li_e,old,police,[-0.019444444444444445],[-0.2972222222222222],[1],[0],[0],[4.127613499993458],['text_3'],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,t_hi_t,old,tshirt,[-0.019444444444444445],[-0.2972222222222222],[1],[0],[0],[4.808733900077641],['text_3'],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,_ho_e,old,,[],[],[],[],[],[],[],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,c_s_io_,old,cus,[],[],[],[],[],[],[],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,ta_l_,new,table,[-0.019444444444444445],[-0.2972222222222222],[1],[0],[0],[6.511179800145328],['text_3'],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,v_s_,new,vase,[-0.019444444444444445],[-0.2972222222222222],[1],[0],[0],[3.173012200044468],['text_3'],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,c_s_,old,case,[-0.019444444444444445],[-0.2972222222222222],[1],[0],[0],[4.493921899935231],['text_3'],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,_ou_se,old,mouse,[-0.019444444444444445],[-0.2972222222222222],[1],[0],[0],[3.5607106001116335],['text_3'],3,1,2024-11-08_00h02.05.467,wordpriming,2024.1.5,None,2024-11-08 00h02.15.316156 +0530
,,,,,,,,,,,,,,,,,
,,primed words,0.55,,,,,,,,,,,,,,
,,non primed,0.25,,,,,,,,,,,,,,
,,priming score,0.3,,,,,,,,,,,,,,
