Study_word,test,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,k_y_,old,keys,"[-0.009259259259259259, 0.012962962962962963]","[-0.3333333333333333, -0.30277777777777776]","[1, 1]","[0, 0]","[0, 0]","[5.634129399899393, 6.915905199944973]",['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,p_li_e,old,police,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[7.057942399987951],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,_ha_t,old,chart,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[3.2106232000514865],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,p_as_tr_,old,pastry,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[2.8449979999568313],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,c_m_ra,new ,camera,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[5.360216900007799],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,c_s_io_,old,cushion,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[4.991680799983442],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,p_st_r,old,pastry,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[5.026077000191435],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,_ho_e,old,phone,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[5.509397899964824],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,_oo_,old,book,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[2.861215000040829],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,bo_t_e,new,bottle,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[3.9439091000240296],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,_a_bl_,old,marble,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[4.626312999986112],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,c_s_,old,case,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[3.5946808999869972],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,v_s_,new,vase,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[2.3601945000700653],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,p_nc_l,new,pencil,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[3.9772228999063373],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,_ou_se,old,mouse,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[4.143883500015363],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,_o_rd,old,board,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[8.106906899949536],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,t_hi_t,old,tshirt,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[3.160882599884644],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,ta_l_,new,table,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[2.8784838998690248],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,l_pt_p,old,laptop,[0.005555555555555556],[-0.30092592592592593],[1],[0],[0],[3.8930802999529988],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,_ru_is_,old,cruise,[-0.014814814814814815],[-0.30185185185185187],[1],[0],[0],[5.126904200064018],['text_3'],4,1,2024-11-08_00h05.07.090,wordpriming,2024.1.5,None,2024-11-08 00h05.16.164277 +0530
,,,,,,,,,,,,,,,,,
,,primed words,0.7,,,,,,,,,,,,,,
,,non primed,0.25,,,,,,,,,,,,,,
,,priming score,0.45,,,,,,,,,,,,,,
